protein,cancer_outcome,method,n_instruments,beta,se,pvalue,OR,OR_95CI_lower,OR_95CI_upper,FDR,F_stat,is_primary_estimate
FCN1,Breast_GCST90018757,Wald ratio,1,-0.0023,0.0073,0.75,0.9977,0.9836,1.012,0.9548307692307691,80.2,True
FLRT2,Breast_GCST90018757,Inverse variance weighted,2,0.0015,0.0089,0.868,1.0015,0.9841,1.0192,0.9562794759825327,59.6,True
ACE,Breast_GCST90018757,Wald ratio,1,-0.0007,0.0043,0.869,0.9993,0.9908,1.0078,0.9562794759825327,305.9,True
DSCAM,Breast_GCST90018757,Wald ratio,1,0.0013,0.008,0.866,1.0013,0.9859,1.0171,0.9562794759825327,65.9,True
CELSR2,Breast_GCST90018757,Wald ratio,1,-0.002,0.0124,0.873,0.998,0.9742,1.0225,0.9585882352941177,67.8,True
KLRD1,Breast_GCST90018757,Wald ratio,1,-0.0013,0.0086,0.884,0.9987,0.9821,1.0157,0.9592258064516129,73.6,True
CCL8,Breast_GCST90018757,Wald ratio,1,-0.0006,0.0038,0.885,0.9994,0.992,1.007,0.9592258064516129,234.6,True
MYOC,Breast_GCST90018757,Wald ratio,1,-0.0016,0.0114,0.885,0.9984,0.9763,1.0209,0.9592258064516129,35.0,True
OPTC,Breast_GCST90018757,Inverse variance weighted,2,0.0029,0.0196,0.881,1.0029,0.9651,1.0423,0.9592258064516129,33.8,True
CNTN2,Breast_GCST90018757,Inverse variance weighted,2,0.0007,0.0047,0.885,1.0007,0.9914,1.01,0.9592258064516129,253.6,True
IGFBP3,Breast_GCST90018757,Wald ratio,1,-0.0015,0.0102,0.882,0.9985,0.9788,1.0186,0.9592258064516129,46.4,True
KLK15,Breast_GCST90018757,Wald ratio,1,-0.001,0.0075,0.897,0.999,0.9844,1.0139,0.9609171974522293,107.2,True
KLK12,Breast_GCST90018757,Wald ratio,1,-0.0005,0.0033,0.89,0.9995,0.993,1.0061,0.9609171974522293,926.3,True
TIMP4,Breast_GCST90018757,Inverse variance weighted,2,0.0009,0.0068,0.898,1.0009,0.9876,1.0143,0.9609171974522293,57.3,True
CLGN,Breast_GCST90018757,Inverse variance weighted,2,0.0005,0.0036,0.893,1.0005,0.9935,1.0075,0.9609171974522293,144.4,True
MAN2B2,Breast_GCST90018757,Wald ratio,1,0.0006,0.0043,0.896,1.0006,0.9921,1.0091,0.9609171974522293,367.1,True
ENPP2,Breast_GCST90018757,Wald ratio,1,-0.0011,0.0085,0.892,0.9989,0.9824,1.0156,0.9609171974522293,56.7,True
NELL1,Breast_GCST90018757,Inverse variance weighted,2,-0.0008,0.0065,0.903,0.9992,0.9866,1.012,0.9642203389830509,39.3,True
IL31RA,Breast_GCST90018757,Weighted median,3,-0.0006,0.0046,0.901,0.9994,0.9904,1.0085,,91.8,False
IL31RA,Breast_GCST90018757,Inverse variance weighted,3,-0.0005,0.0045,0.905,0.9995,0.9907,1.0083,0.9643128964059197,91.8,True
NCAM1,Breast_GCST90018757,Inverse variance weighted,3,0.0009,0.0077,0.911,1.0009,0.9858,1.0162,0.966618947368421,37.7,True
PPCDC,Breast_GCST90018757,Inverse variance weighted,3,0.0007,0.0062,0.91,1.0007,0.9887,1.0129,0.966618947368421,94.4,True
C8B,Breast_GCST90018757,Wald ratio,1,-0.0008,0.0071,0.916,0.9992,0.9854,1.0133,0.9698823529411765,83.9,True
CHIT1,Breast_GCST90018757,Inverse variance weighted,3,-0.0003,0.0029,0.919,0.9997,0.994,1.0054,0.9710188679245284,192.8,True
CHIT1,Breast_GCST90018757,MR Egger,3,0.0017,0.0133,0.92,1.0017,0.9759,1.0282,,192.8,False
ALPP,Breast_GCST90018757,Inverse variance weighted,2,-0.0005,0.0054,0.922,0.9995,0.989,1.01,0.9717782340862422,64.0,True
COL2A1,Breast_GCST90018757,Wald ratio,1,-0.0007,0.0078,0.928,0.9993,0.9842,1.0146,0.9717782340862422,105.7,True
C1R,Breast_GCST90018757,Wald ratio,1,0.0013,0.0157,0.932,1.0013,0.971,1.0327,0.9717782340862422,42.5,True
SERPINA9,Breast_GCST90018757,Wald ratio,1,-0.0007,0.0084,0.935,0.9993,0.983,1.0159,0.9717782340862422,52.0,True
CTSH,Breast_GCST90018757,Inverse variance weighted,3,-0.0002,0.0025,0.939,0.9998,0.995,1.0047,0.9717782340862422,292.5,True
KLK14,Breast_GCST90018757,Wald ratio,1,-0.0016,0.021,0.941,0.9984,0.9582,1.0404,0.9718524590163934,35.2,True
PRELP,Breast_GCST90018757,Wald ratio,1,-0.001,0.0121,0.932,0.999,0.9755,1.023,0.9717782340862422,31.1,True
MASP1,Breast_GCST90018757,Wald ratio,1,-0.0011,0.0141,0.935,0.9989,0.9716,1.0268,0.9717782340862422,32.2,True
SCARB2,Breast_GCST90018757,Wald ratio,1,-0.0008,0.0098,0.933,0.9992,0.9802,1.0185,0.9717782340862422,36.7,True
CRISP3,Breast_GCST90018757,Wald ratio,1,-0.0006,0.0074,0.938,0.9994,0.985,1.0141,0.9717782340862422,167.1,True
MEGF9,Breast_GCST90018757,Wald ratio,1,-0.0006,0.0081,0.936,0.9994,0.9836,1.0154,0.9717782340862422,51.9,True
BCAT1,Breast_GCST90018757,Wald ratio,1,-0.0008,0.0132,0.951,0.9992,0.9736,1.0254,0.9761792260692463,66.3,True
ANG,Breast_GCST90018757,MR Egger,3,-0.002,0.0256,0.95,0.998,0.9492,1.0493,,74.5,False
CTBS,Breast_GCST90018757,Wald ratio,1,-0.0003,0.0045,0.951,0.9997,0.9909,1.0086,0.9761792260692463,62.0,True
IL5RA,Breast_GCST90018757,Wald ratio,1,-0.0009,0.0139,0.948,0.9991,0.9722,1.0267,0.9761792260692463,32.4,True
CDHR5,Breast_GCST90018757,Weighted median,3,-0.0002,0.0042,0.967,0.9998,0.9915,1.0082,,94.3,False
TCN1,Breast_GCST90018757,Inverse variance weighted,2,-0.0005,0.0125,0.968,0.9995,0.9753,1.0243,0.9836129032258064,59.5,True
KLK13,Breast_GCST90018757,Wald ratio,1,-0.0003,0.0068,0.968,0.9997,0.9865,1.0131,0.9836129032258064,92.5,True
PROK1,Breast_GCST90018757,Inverse variance weighted,2,0.0006,0.0129,0.961,1.0006,0.9756,1.0263,0.9824421906693712,108.3,True
CD48,Breast_GCST90018757,Wald ratio,1,-0.0004,0.0073,0.958,0.9996,0.9854,1.0141,0.9813658536585366,76.7,True
CHIT1,Breast_GCST90018757,Weighted median,3,-0.0001,0.003,0.96,0.9999,0.9941,1.0057,,192.8,False
PDGFRB,Breast_GCST90018757,Inverse variance weighted,2,-0.0001,0.0023,0.963,0.9999,0.9954,1.0044,0.982493927125506,981.6,True
PSAPL1,Breast_GCST90018757,Inverse variance weighted,2,-0.0002,0.006,0.974,0.9998,0.9882,1.0116,0.987718309859155,129.4,True
NID2,Breast_GCST90018757,Wald ratio,1,0.0002,0.0075,0.983,1.0002,0.9856,1.0149,0.9928496993987976,91.0,True
ECM1,Breast_GCST90018757,Wald ratio,1,-0.0001,0.0057,0.981,0.9999,0.9887,1.0111,0.9928192771084337,188.9,True
C1S,Breast_GCST90018757,Wald ratio,1,0.0001,0.0087,0.991,1.0001,0.9832,1.0173,0.9959521912350598,146.6,True
CTSH,Breast_GCST90018757,Weighted median,3,0.0,0.0028,0.989,1.0,0.9945,1.0056,,292.5,False
ACP5,Breast_GCST90018757,Wald ratio,1,-0.0002,0.0141,0.987,0.9998,0.9726,1.0277,0.994896,32.6,True
GC,Breast_GCST90018757,Inverse variance weighted,2,0.0,0.0023,0.992,1.0,0.9954,1.0046,0.9959521912350598,747.5,True
SERPINA4,Breast_GCST90018757,Wald ratio,1,0.0,0.0086,0.998,1.0,0.9833,1.017,0.998,61.5,True
HSDL2,Breast_GCST90018757,Wald ratio,1,0.0,0.0033,0.996,1.0,0.9936,1.0065,0.9979801192842942,685.0,True
ABO,Endometrial_GCST006464,Inverse variance weighted,2,0.0474,0.0103,4.38e-06,1.0486,1.0276,1.07,0.0026893200000000003,1069.2,True
LCP1,Endometrial_GCST006464,Wald ratio,1,0.0566,0.0177,0.00134,1.0583,1.0223,1.0955,0.16987333333333332,289.6,True
CD300LF,Endometrial_GCST006464,Inverse variance weighted,2,0.0388,0.0115,0.00078,1.0395,1.0163,1.0633,0.16987333333333332,694.1,True
GRP,Endometrial_GCST006464,Inverse variance weighted,2,-0.0876,0.0276,0.0015,0.9161,0.8679,0.967,0.16987333333333332,55.6,True
CNTN2,Endometrial_GCST006464,Inverse variance weighted,2,-0.0451,0.0144,0.00166,0.9559,0.9293,0.9831,0.16987333333333332,253.6,True
IGF2R,Endometrial_GCST006464,Wald ratio,1,0.1297,0.0399,0.00115,1.1385,1.0529,1.231,0.16987333333333332,47.1,True
MMP10,Endometrial_GCST006464,Wald ratio,1,-0.12,0.0395,0.00235,0.8869,0.8209,0.9582,0.1803625,43.4,True
APOBR,Endometrial_GCST006464,Wald ratio,1,-0.041,0.0133,0.00209,0.9598,0.9351,0.9852,0.1803625,1421.3,True
APOE,Endometrial_GCST006464,Wald ratio,1,0.0573,0.0191,0.00265,1.059,1.0201,1.0994,0.1807888888888889,321.0,True
TF,Endometrial_GCST006464,Wald ratio,1,-0.1192,0.0424,0.00488,0.8876,0.8169,0.9644,0.2723927272727273,38.0,True
PDCD1LG2,Endometrial_GCST006464,Inverse variance weighted,2,0.0556,0.0198,0.00488,1.0572,1.017,1.0989,0.2723927272727273,102.8,True
MIA,Endometrial_GCST006464,Wald ratio,1,-0.0683,0.0248,0.00583,0.934,0.8898,0.9805,0.2983016666666667,383.8,True
KLRK1,Endometrial_GCST006464,Wald ratio,1,0.0865,0.0318,0.00649,1.0903,1.0245,1.1604,0.3065276923076923,75.0,True
CST1,Endometrial_GCST006464,Wald ratio,1,0.0619,0.0234,0.00821,1.0639,1.0161,1.1139,0.36006714285714286,148.2,True
IDUA,Endometrial_GCST006464,Wald ratio,1,0.0753,0.0288,0.00889,1.0782,1.0191,1.1407,0.36389733333333335,86.9,True
GNLY,Endometrial_GCST006464,Inverse variance weighted,2,0.05,0.0195,0.0104,1.0512,1.0118,1.0922,0.39909999999999995,136.7,True
TPSAB1,Endometrial_GCST006464,Weighted median,3,-0.0499,0.0199,0.0119,0.9513,0.915,0.9891,,87.9,False
SHMT1,Endometrial_GCST006464,Wald ratio,1,-0.0836,0.035,0.017,0.9198,0.8588,0.9852,0.461728,69.8,True
PTPRS,Endometrial_GCST006464,Wald ratio,1,0.1912,0.0774,0.0135,1.2107,1.0403,1.4089,0.461728,38.7,True
CELSR2,Endometrial_GCST006464,Wald ratio,1,0.0809,0.0333,0.015,1.0843,1.0158,1.1574,0.461728,67.8,True
CD160,Endometrial_GCST006464,Wald ratio,1,-0.096,0.04,0.0165,0.9085,0.8399,0.9826,0.461728,49.0,True
PROCR,Endometrial_GCST006464,Wald ratio,1,0.1284,0.0523,0.014,1.1371,1.0263,1.2598,0.461728,38.6,True
FAM3B,Endometrial_GCST006464,Inverse variance weighted,2,-0.04,0.0168,0.0175,0.9608,0.9296,0.993,0.461728,123.7,True
LRIG1,Endometrial_GCST006464,Wald ratio,1,-0.0454,0.0193,0.0187,0.9556,0.92,0.9925,0.461728,202.9,True
TNFRSF10A,Endometrial_GCST006464,Inverse variance weighted,2,-0.0575,0.0237,0.0155,0.9441,0.9012,0.9891,0.461728,66.4,True
SCARA5,Endometrial_GCST006464,Wald ratio,1,-0.1183,0.0503,0.0188,0.8885,0.805,0.9806,0.461728,31.2,True
SNCG,Endometrial_GCST006464,Wald ratio,1,0.0349,0.0155,0.024,1.0355,1.0046,1.0674,0.48723870967741933,409.9,True
ANG,Endometrial_GCST006464,Inverse variance weighted,3,0.0428,0.019,0.0238,1.0438,1.0057,1.0833,0.48723870967741933,74.5,True
CD177,Endometrial_GCST006464,Inverse variance weighted,3,-0.0544,0.0237,0.0216,0.9471,0.9041,0.992,0.48723870967741933,139.9,True
TNFRSF6B,Endometrial_GCST006464,Wald ratio,1,-0.0862,0.0377,0.0223,0.9174,0.8521,0.9878,0.48723870967741933,52.5,True
HRG,Endometrial_GCST006464,Inverse variance weighted,2,0.0609,0.0271,0.0246,1.0628,1.0078,1.1208,0.48723870967741933,52.2,True
NAPRT,Endometrial_GCST006464,Wald ratio,1,-0.1099,0.0489,0.0245,0.8959,0.8141,0.986,0.48723870967741933,33.0,True
HBZ,Endometrial_GCST006464,Inverse variance weighted,2,0.0322,0.0149,0.0307,1.0327,1.003,1.0632,0.5277081081081082,349.0,True
CD177,Endometrial_GCST006464,Weighted median,3,-0.0573,0.0262,0.029,0.9443,0.897,0.9942,,139.9,False
CFHR4,Endometrial_GCST006464,Inverse variance weighted,3,0.0322,0.0148,0.0298,1.0327,1.0032,1.0632,0.5277081081081082,139.4,True
COMT,Endometrial_GCST006464,Wald ratio,1,-0.0581,0.027,0.0318,0.9436,0.8949,0.9949,0.5277081081081082,115.0,True
PDGFRB,Endometrial_GCST006464,Wald ratio,1,-0.0304,0.014,0.0304,0.9701,0.9437,0.9971,0.5277081081081082,919.8,True
CD2AP,Endometrial_GCST006464,Wald ratio,1,-0.064,0.0297,0.0313,0.938,0.885,0.9943,0.5277081081081082,93.1,True
LY6D,Endometrial_GCST006464,Inverse variance weighted,2,0.0523,0.0236,0.0268,1.0537,1.006,1.1036,0.514225,74.5,True
PBLD,Endometrial_GCST006464,Wald ratio,1,-0.0739,0.0355,0.0376,0.9288,0.8663,0.9958,0.536893023255814,74.8,True
SPON1,Endometrial_GCST006464,Wald ratio,1,0.0997,0.0475,0.0357,1.1049,1.0067,1.2126,0.536893023255814,34.6,True
CLEC1A,Endometrial_GCST006464,Wald ratio,1,0.1405,0.067,0.0361,1.1509,1.0092,1.3125,0.536893023255814,41.9,True
LILRB5,Endometrial_GCST006464,Inverse variance weighted,2,-0.0217,0.0104,0.036,0.9785,0.9588,0.9986,0.536893023255814,891.6,True
DPT,Endometrial_GCST006464,Wald ratio,1,0.0742,0.0356,0.0371,1.0771,1.0044,1.155,0.536893023255814,79.8,True
CFHR4,Endometrial_GCST006464,Weighted median,3,0.0339,0.0163,0.0375,1.0345,1.002,1.068,,139.4,False
ARSA,Endometrial_GCST006464,Wald ratio,1,0.0543,0.0258,0.0355,1.0558,1.0037,1.1105,0.536893023255814,32.7,True
ENTPD5,Endometrial_GCST006464,Wald ratio,1,-0.0756,0.0366,0.0387,0.9272,0.863,0.9961,0.5400409090909091,73.1,True
CCL14,Endometrial_GCST006464,Wald ratio,1,0.0672,0.0327,0.0396,1.0695,1.0032,1.1402,0.54032,112.1,True
CDH23,Endometrial_GCST006464,Inverse variance weighted,2,-0.0586,0.029,0.0434,0.9431,0.891,0.9983,0.5465803921568628,38.7,True
TCTN3,Endometrial_GCST006464,Wald ratio,1,0.0505,0.0252,0.0451,1.0518,1.0011,1.1051,0.5465803921568628,140.6,True
ANG,Endometrial_GCST006464,Weighted median,3,0.0448,0.022,0.0412,1.0458,1.0018,1.0918,,74.5,False
SERPINA1,Endometrial_GCST006464,Wald ratio,1,0.0778,0.0384,0.0427,1.0809,1.0026,1.1654,0.5465803921568628,60.0,True
LILRB1,Endometrial_GCST006464,Inverse variance weighted,2,0.05,0.0249,0.0448,1.0513,1.0012,1.104,0.5465803921568628,90.3,True
CHIT1,Endometrial_GCST006464,Inverse variance weighted,3,0.029,0.0143,0.0425,1.0294,1.001,1.0587,0.5465803921568628,192.8,True
RBP7,Endometrial_GCST006464,Inverse variance weighted,2,0.0542,0.0271,0.0454,1.0557,1.0011,1.1132,0.5465803921568628,45.0,True
SCN4B,Endometrial_GCST006464,Inverse variance weighted,2,0.0317,0.0169,0.0611,1.0322,0.9985,1.067,0.5599313432835821,142.9,True
SERPING1,Endometrial_GCST006464,Wald ratio,1,0.1003,0.053,0.0584,1.1055,0.9964,1.2264,0.5599313432835821,34.1,True
SELPLG,Endometrial_GCST006464,Wald ratio,1,-0.0615,0.0315,0.0506,0.9404,0.8842,1.0002,0.5566262295081967,163.4,True
CPB2,Endometrial_GCST006464,Wald ratio,1,-0.0883,0.0453,0.051,0.9155,0.8377,1.0004,0.5566262295081967,35.0,True
PCDH9,Endometrial_GCST006464,Inverse variance weighted,2,0.0693,0.0366,0.0587,1.0717,0.9975,1.1516,0.5599313432835821,37.1,True
PRTG,Endometrial_GCST006464,Wald ratio,1,0.0643,0.0339,0.0579,1.0664,0.9978,1.1397,0.5599313432835821,74.6,True
ACE,Endometrial_GCST006464,Wald ratio,1,-0.0365,0.0188,0.0528,0.9642,0.9293,1.0004,0.5566262295081967,305.9,True
HSD17B14,Endometrial_GCST006464,Weighted median,3,-0.0334,0.0178,0.0608,0.9671,0.9339,1.0015,,121.7,False
CHIT1,Endometrial_GCST006464,Weighted median,3,0.0295,0.0152,0.0527,1.0299,0.9997,1.0611,,192.8,False
PCSK9,Endometrial_GCST006464,Wald ratio,1,0.0916,0.0486,0.0595,1.0959,0.9963,1.2054,0.5599313432835821,94.2,True
WFDC12,Endometrial_GCST006464,Inverse variance weighted,2,-0.0458,0.0245,0.061,0.9552,0.9105,1.0021,0.5599313432835821,66.8,True
GGT5,Endometrial_GCST006464,Wald ratio,1,-0.1345,0.0702,0.0553,0.8742,0.7619,1.0031,0.5566262295081967,31.1,True
IL18R1,Endometrial_GCST006464,Inverse variance weighted,2,0.0332,0.0173,0.0541,1.0338,0.9994,1.0694,0.5566262295081967,138.4,True
AGXT,Endometrial_GCST006464,Wald ratio,1,-0.0832,0.0432,0.0542,0.9202,0.8454,1.0015,0.5566262295081967,44.3,True
CLGN,Endometrial_GCST006464,Inverse variance weighted,2,0.038,0.0198,0.0547,1.0387,0.9992,1.0797,0.5566262295081967,144.4,True
PILRB,Endometrial_GCST006464,Inverse variance weighted,2,0.0207,0.0105,0.0478,1.0209,1.0002,1.0421,0.5537584905660378,724.4,True
EPPK1,Endometrial_GCST006464,Wald ratio,1,-0.0883,0.0446,0.0475,0.9155,0.8389,0.999,0.5537584905660378,51.7,True
CRH,Endometrial_GCST006464,Wald ratio,1,-0.1299,0.0663,0.05,0.8782,0.7712,1.0,0.5566262295081967,41.0,True
HSD17B14,Endometrial_GCST006464,Inverse variance weighted,3,-0.0289,0.0157,0.0656,0.9716,0.9422,1.0019,0.592329411764706,121.7,True
FUT8,Endometrial_GCST006464,Wald ratio,1,-0.0969,0.0529,0.0671,0.9077,0.8183,1.0068,0.5970927536231885,36.0,True
LAYN,Endometrial_GCST006464,Wald ratio,1,0.0669,0.0388,0.0845,1.0692,0.9909,1.1536,0.6054325581395349,48.4,True
MANSC4,Endometrial_GCST006464,Wald ratio,1,0.0439,0.0255,0.0845,1.0449,0.994,1.0984,0.6054325581395349,131.2,True
THTPA,Endometrial_GCST006464,Wald ratio,1,0.0413,0.0235,0.0788,1.0421,0.9953,1.0912,0.6054325581395349,167.4,True
SERPINA9,Endometrial_GCST006464,Weighted median,3,-0.0582,0.0336,0.0835,0.9435,0.8834,1.0077,,42.3,False
CTSH,Endometrial_GCST006464,Weighted median,4,0.0232,0.0133,0.0815,1.0234,0.9971,1.0505,,287.2,False
CCL18,Endometrial_GCST006464,Wald ratio,1,-0.0452,0.026,0.0829,0.9559,0.9083,1.0059,0.6054325581395349,160.9,True
NT5C,Endometrial_GCST006464,Wald ratio,1,-0.0454,0.0254,0.0744,0.9556,0.9091,1.0045,0.6054325581395349,120.3,True
ENPP7,Endometrial_GCST006464,Wald ratio,1,0.032,0.0179,0.0747,1.0325,0.9968,1.0695,0.6054325581395349,412.3,True
NPTX1,Endometrial_GCST006464,Wald ratio,1,-0.0811,0.0466,0.0818,0.9221,0.8416,1.0103,0.6054325581395349,39.3,True
LILRA5,Endometrial_GCST006464,Inverse variance weighted,2,0.052,0.0302,0.0848,1.0534,0.9929,1.1176,0.6054325581395349,48.9,True
ROR1,Endometrial_GCST006464,Wald ratio,1,-0.074,0.041,0.0714,0.9287,0.8569,1.0065,0.6054325581395349,73.1,True
IL17RA,Endometrial_GCST006464,Wald ratio,1,-0.0468,0.0263,0.075,0.9543,0.9063,1.0047,0.6054325581395349,132.7,True
TFPI,Endometrial_GCST006464,Wald ratio,1,0.0626,0.0361,0.0826,1.0646,0.9919,1.1426,0.6054325581395349,61.7,True
CASP8,Endometrial_GCST006464,Wald ratio,1,-0.0657,0.038,0.0838,0.9364,0.8691,1.0088,0.6054325581395349,43.8,True
ITIH3,Endometrial_GCST006464,Wald ratio,1,0.0808,0.0458,0.0778,1.0841,0.9911,1.1859,0.6054325581395349,37.2,True
F11,Endometrial_GCST006464,Inverse variance weighted,2,0.0513,0.0288,0.0749,1.0526,0.9949,1.1137,0.6054325581395349,63.8,True
TREM2,Endometrial_GCST006464,Wald ratio,1,-0.0854,0.0476,0.0732,0.9182,0.8363,1.0081,0.6054325581395349,57.2,True
SH3GLB2,Endometrial_GCST006464,Wald ratio,1,-0.0871,0.0499,0.081,0.9166,0.8312,1.0108,0.6054325581395349,37.3,True
PAEP,Endometrial_GCST006464,Inverse variance weighted,2,-0.0285,0.0157,0.0704,0.9719,0.9424,1.0024,0.6054325581395349,156.6,True
IL15RA,Endometrial_GCST006464,Wald ratio,1,-0.0746,0.0442,0.0913,0.9281,0.851,1.0121,0.609995652173913,36.0,True
CD300LG,Endometrial_GCST006464,Wald ratio,1,-0.0725,0.0429,0.0914,0.9301,0.855,1.0117,0.609995652173913,42.9,True
SPRR3,Endometrial_GCST006464,Wald ratio,1,0.0649,0.038,0.088,1.067,0.9904,1.1495,0.609995652173913,57.3,True
LGALS8,Endometrial_GCST006464,Wald ratio,1,-0.0288,0.017,0.0905,0.9716,0.9398,1.0046,0.609995652173913,368.3,True
IGFBP7,Endometrial_GCST006464,Wald ratio,1,-0.0764,0.0451,0.0908,0.9265,0.848,1.0122,0.609995652173913,44.4,True
NPTX2,Endometrial_GCST006464,Wald ratio,1,0.0842,0.0494,0.0884,1.0878,0.9874,1.1985,0.609995652173913,35.8,True
PPCDC,Endometrial_GCST006464,Weighted median,3,0.0422,0.0252,0.0941,1.0431,0.9928,1.0959,,94.4,False
ENPP6,Endometrial_GCST006464,Inverse variance weighted,2,0.0538,0.0321,0.0941,1.0552,0.9909,1.1238,0.6192255319148936,43.3,True
AIF1L,Endometrial_GCST006464,Wald ratio,1,-0.0705,0.0422,0.0948,0.9319,0.858,1.0123,0.6192255319148936,43.4,True
NMI,Endometrial_GCST006464,Wald ratio,1,-0.0444,0.0267,0.0969,0.9566,0.9077,1.0081,0.6248729166666667,128.1,True
DBH,Endometrial_GCST006464,Inverse variance weighted,3,-0.0208,0.0126,0.0977,0.9794,0.9555,1.0038,0.6248729166666667,206.9,True
PILRA,Endometrial_GCST006464,Inverse variance weighted,2,0.0207,0.0126,0.101,1.021,0.996,1.0466,0.639319587628866,381.3,True
TREH,Endometrial_GCST006464,Inverse variance weighted,2,0.0196,0.0123,0.112,1.0198,0.9954,1.0447,0.6484299065420561,414.6,True
IL4R,Endometrial_GCST006464,Wald ratio,1,0.0699,0.044,0.112,1.0724,0.9838,1.169,0.6484299065420561,37.5,True
WFIKKN2,Endometrial_GCST006464,Wald ratio,1,-0.0394,0.0244,0.106,0.9614,0.9165,1.0084,0.6484299065420561,164.3,True
CA6,Endometrial_GCST006464,Inverse variance weighted,2,0.0272,0.0171,0.113,1.0275,0.9936,1.0626,0.6484299065420561,144.0,True
AHSG,Endometrial_GCST006464,Inverse variance weighted,2,0.0264,0.0166,0.112,1.0267,0.9938,1.0607,0.6484299065420561,233.7,True
CD38,Endometrial_GCST006464,Inverse variance weighted,2,0.0464,0.0291,0.111,1.0475,0.9894,1.109,0.6484299065420561,49.6,True
SPARCL1,Endometrial_GCST006464,Inverse variance weighted,2,-0.0252,0.0157,0.108,0.9751,0.9456,1.0056,0.6484299065420561,241.7,True
PI16,Endometrial_GCST006464,Wald ratio,1,0.0797,0.0497,0.109,1.0829,0.9824,1.1937,0.6484299065420561,35.4,True
CRISP2,Endometrial_GCST006464,Weighted median,3,-0.0308,0.019,0.104,0.9696,0.9343,1.0063,,104.5,False
PON2,Endometrial_GCST006464,Wald ratio,1,-0.0357,0.0225,0.112,0.9649,0.9234,1.0084,0.6484299065420561,261.6,True
LCN15,Endometrial_GCST006464,Wald ratio,1,0.0366,0.0231,0.113,1.0372,0.9914,1.0852,0.6484299065420561,227.7,True
PRR4,Endometrial_GCST006464,Inverse variance weighted,2,0.0232,0.0148,0.117,1.0235,0.9942,1.0536,0.6590642201834863,254.6,True
FLRT2,Endometrial_GCST006464,Inverse variance weighted,2,-0.0428,0.0273,0.117,0.9581,0.9081,1.0108,0.6590642201834863,59.6,True
SCARB2,Endometrial_GCST006464,Wald ratio,1,-0.0799,0.0512,0.119,0.9232,0.8351,1.0207,0.6642363636363636,36.7,True
SFTPD,Endometrial_GCST006464,Wald ratio,1,-0.0347,0.0223,0.121,0.9659,0.9245,1.0091,0.6693153153153153,192.8,True
C1QTNF9,Endometrial_GCST006464,Inverse variance weighted,2,0.0205,0.0135,0.127,1.0207,0.9942,1.048,0.6881034482758621,284.5,True
CDA,Endometrial_GCST006464,Inverse variance weighted,2,0.0296,0.0194,0.127,1.03,0.9916,1.0698,0.6881034482758621,90.0,True
PROK1,Endometrial_GCST006464,Inverse variance weighted,2,-0.0614,0.0405,0.129,0.9405,0.8687,1.0181,0.6881034482758621,108.3,True
PIK3IP1,Endometrial_GCST006464,Wald ratio,1,-0.0711,0.0469,0.13,0.9314,0.8495,1.0211,0.6881034482758621,31.8,True
LECT2,Endometrial_GCST006464,Inverse variance weighted,2,0.0144,0.0095,0.13,1.0145,0.9958,1.0336,0.6881034482758621,1046.4,True
CTBS,Endometrial_GCST006464,Wald ratio,1,0.0374,0.025,0.135,1.0381,0.9885,1.0901,0.706873949579832,62.0,True
BTD,Endometrial_GCST006464,Wald ratio,1,-0.0335,0.0225,0.137,0.9671,0.9254,1.0107,0.706873949579832,268.3,True
CRISP2,Endometrial_GCST006464,Inverse variance weighted,3,-0.025,0.0168,0.137,0.9753,0.9438,1.0079,0.706873949579832,104.5,True
TXNDC15,Endometrial_GCST006464,Inverse variance weighted,2,0.0221,0.015,0.141,1.0223,0.9927,1.0528,0.7193880597014926,361.0,True
GZMB,Endometrial_GCST006464,Wald ratio,1,0.0678,0.0477,0.155,1.0701,0.9747,1.1749,0.7193880597014926,33.1,True
AMY2A,Endometrial_GCST006464,Inverse variance weighted,2,0.0497,0.0351,0.157,1.0509,0.9811,1.1258,0.7193880597014926,51.7,True
SLAMF8,Endometrial_GCST006464,Inverse variance weighted,2,0.0295,0.0207,0.154,1.03,0.989,1.0726,0.7193880597014926,221.8,True
XCL1,Endometrial_GCST006464,Wald ratio,1,-0.0324,0.0228,0.155,0.9681,0.9258,1.0124,0.7193880597014926,218.1,True
CFH,Endometrial_GCST006464,Wald ratio,1,-0.0545,0.0383,0.154,0.9469,0.8785,1.0207,0.7193880597014926,43.7,True
CSF3R,Endometrial_GCST006464,Inverse variance weighted,2,-0.055,0.0383,0.152,0.9465,0.878,1.0204,0.7193880597014926,149.4,True
SCARF2,Endometrial_GCST006464,Wald ratio,1,-0.0675,0.0464,0.145,0.9347,0.8535,1.0237,0.7193880597014926,32.2,True
INHBB,Endometrial_GCST006464,Wald ratio,1,0.0484,0.0341,0.156,1.0496,0.9817,1.1222,0.7193880597014926,68.3,True
MCFD2,Endometrial_GCST006464,Wald ratio,1,-0.0645,0.0444,0.147,0.9375,0.8594,1.0228,0.7193880597014926,41.7,True
KLB,Endometrial_GCST006464,Inverse variance weighted,2,-0.0228,0.0157,0.148,0.9775,0.9478,1.0081,0.7193880597014926,198.0,True
PAM,Endometrial_GCST006464,Inverse variance weighted,2,-0.039,0.0275,0.155,0.9617,0.9113,1.0149,0.7193880597014926,63.8,True
